,0,1
0,1.0,171.04626
1,2.0,169.27834
2,3.0,153.80904
3,4.0,178.78091
4,5.0,183.86368
5,6.0,158.44983
6,7.0,178.33893
7,8.0,163.31161
8,9.0,186.07358
9,10.0,178.11794
10,1.0,149.08473
11,2.0,138.623333333333
12,3.0,146.852893333333
13,4.0,143.542993333333
14,5.0,147.952893333333
15,6.0,159.250513333333
16,7.0,121.40333
17,8.0,151.967743333333
18,9.0,144.218306666667
19,10.0,156.59124
20,11.0,186.900076666667
21,12.0,262.027776666667
22,13.0,216.560793333333
23,14.0,143.334346666667
24,15.0,139.97877
25,16.0,151.097095
26,17.0,148.891176666667
27,18.0,147.76154
28,19.0,158.208533333333
29,20.0,126.272503333333
30,21.0,138.23679
31,22.0,137.223193333333
32,23.0,155.5653
33,24.0,127.056463333333
34,25.0,148.191176666667
35,26.0,118.484783333333
36,27.0,158.85421
37,28.0,206.171093333333
38,29.0,241.030093333333
39,30.0,143.642993333333
40,31.0,246.228903333333
41,32.0,161.718433333333
42,33.0,158.487543333333
43,34.0,155.177643333333
44,35.0,143.242993333333
45,36.0,152.33441
46,37.0,163.202393333333
47,38.0,165.307343333333
48,39.0,143.40966
49,40.0,155.277643333333
50,41.0,172.281466666667
51,42.0,185.852513333333
52,43.0,153.956653333333
53,44.0,161.592493333333
54,45.0,165.098696666667
55,46.0,130.00709
56,47.0,186.992683333333
57,48.0,184.51242
58,49.0,256.45616
59,50.0,175.637043333333
60,51.0,162.64864
61,52.0,144.52746
62,53.0,158.89181
63,54.0,118.45064
64,55.0,128.61618
65,56.0,52.59562
66,57.0,17.90019
67,58.0,135.46687
68,59.0,30.05464
69,60.0,173.69814
70,61.0,133.47796
71,62.0,133.25697
72,63.0,144.96944
73,64.0,122.42846
74,65.0,173.69814
75,66.0,166.88391
76,67.0,152.501076666667
77,68.0,123.841613333333
78,69.0,180.751893333333
79,70.0,155.489986666667
80,71.0,148.891176666667
81,72.0,167.845626666667
82,73.0,162.051766666667
83,74.0,206.0
84,75.0,153.933333333333
85,76.0,163.5
86,77.0,150.933333333333
87,78.0,164.566666666667
88,79.0,142.933333333333
89,80.0,133.8
90,81.0,147.066666666667
91,82.0,164.633333333333
92,83.0,150.3
93,84.0,201.533333333333
94,85.0,102.133333333333
95,86.0,114.6
96,87.0,150.2
97,88.0,161.033333333333
98,89.0,127.466666666667
99,90.0,107.233333333333
100,91.0,183.966666666667
101,92.0,160.7
102,93.0,166.1
103,94.0,181.533333333333
104,95.0,243.833333333333
105,96.0,158.9
106,97.0,186.133333333333
107,98.0,152.633333333333
108,99.0,157.866666666667
109,100.0,178.333333333333
110,101.0,171.666666666667
111,102.0,119.066666666667
112,103.0,154.433333333333
113,104.0,164.333333333333
114,105.0,226.866666666667
115,106.0,163.966666666667
116,107.0,185.433333333333
117,108.0,155.2
118,109.0,168.866666666667
119,110.0,123.066666666667
120,111.0,146.033333333333
121,112.0,173.5
122,113.0,182.233333333333
123,114.0,139.033333333333
124,115.0,172.533333333333
125,116.0,173.0
126,117.0,177.366666666667
127,118.0,166.466666666667
128,119.0,138.4
129,120.0,192.433333333333
130,121.0,150.8
131,122.0,151.133333333333
132,123.0,130.6
133,124.0,151.866666666667
134,125.0,128.533333333333
135,126.0,175.333333333333
136,127.0,169.266666666667
137,128.0,176.1
138,129.0,191.6
139,130.0,142.44988
140,131.0,144.04988
141,132.0,177.866666666667
142,133.0,148.226446666667
143,134.0,154.68053
144,135.0,161.288226666667
145,136.0,153.136346666667
146,137.0,103.432396666667
147,138.0,153.803013333333
148,139.0,159.1376
149,140.0,187.41918
150,141.0,123.358463333333
151,142.0,162.40057
152,143.0,183.026573333333
153,144.0,156.26968
154,145.0,419.407913333333
155,146.0,385.773263333333
156,147.0,156.907963333333
157,148.0,153.76968
158,149.0,179.612976666667
159,150.0,143.53384
160,151.0,165.712913333333
161,152.0,160.946246666667
162,153.0,173.49938
163,154.0,163.417863333333
164,155.0,145.19681
165,156.0,157.541296666667
166,157.0,304.29243
167,158.0,231.516863333333
168,159.0,349.09876
169,160.0,184.880896666667
170,161.0,207.082213333333
171,162.0,241.178643333333
172,163.0,196.42908
173,164.0,194.167363333333
174,165.0,304.286666666667
175,166.0,259.366666666667
176,167.0,317.3
177,168.0,305.666666666667
178,169.0,249.27672
179,170.0,153.80904
180,171.0,205.74169
181,172.0,223.64188
182,173.0,179.22289
183,174.0,204.41575
184,175.0,202.42684
