,0,1,2
0,0.0,1.0,171.04626
1,1.0,2.0,169.27834
2,2.0,3.0,153.80904
3,3.0,4.0,178.78091
4,4.0,5.0,183.86368
5,5.0,6.0,158.44983
6,6.0,7.0,178.33893
7,7.0,8.0,163.31161
8,8.0,9.0,186.07358
9,9.0,10.0,178.11794
10,10.0,1.0,149.08473
11,11.0,2.0,138.623333333333
12,12.0,3.0,146.852893333333
13,13.0,4.0,143.542993333333
14,14.0,5.0,147.952893333333
15,15.0,6.0,159.250513333333
16,16.0,7.0,121.40333
17,17.0,8.0,151.967743333333
18,18.0,9.0,144.218306666667
19,19.0,10.0,156.59124
20,20.0,11.0,186.900076666667
21,21.0,12.0,262.027776666667
22,22.0,13.0,216.560793333333
23,23.0,14.0,143.334346666667
24,24.0,15.0,139.97877
25,25.0,16.0,151.097095
26,26.0,17.0,148.891176666667
27,27.0,18.0,147.76154
28,28.0,19.0,158.208533333333
29,29.0,20.0,126.272503333333
30,30.0,21.0,138.23679
31,31.0,22.0,137.223193333333
32,32.0,23.0,155.5653
33,33.0,24.0,127.056463333333
34,34.0,25.0,148.191176666667
35,35.0,26.0,118.484783333333
36,36.0,27.0,158.85421
37,37.0,28.0,206.171093333333
38,38.0,29.0,241.030093333333
39,40.0,31.0,246.228903333333
40,42.0,33.0,158.487543333333
41,43.0,34.0,155.177643333333
42,44.0,35.0,143.242993333333
43,45.0,36.0,152.33441
44,46.0,37.0,163.202393333333
45,47.0,38.0,165.307343333333
46,48.0,39.0,143.40966
47,49.0,40.0,155.277643333333
48,50.0,41.0,172.281466666667
49,51.0,42.0,185.852513333333
50,52.0,43.0,153.956653333333
51,53.0,44.0,161.592493333333
52,54.0,45.0,165.098696666667
53,55.0,46.0,130.00709
54,56.0,47.0,186.992683333333
55,57.0,48.0,184.51242
56,58.0,49.0,256.45616
57,59.0,50.0,175.637043333333
58,60.0,51.0,162.64864
59,61.0,52.0,144.52746
60,62.0,53.0,158.89181
61,63.0,54.0,118.45064
62,64.0,55.0,128.61618
63,65.0,56.0,52.59562
64,66.0,57.0,17.90019
65,67.0,58.0,135.46687
66,68.0,59.0,30.05464
67,69.0,60.0,173.69814
68,70.0,61.0,133.47796
69,71.0,62.0,133.25697
70,72.0,63.0,144.96944
71,73.0,64.0,122.42846
72,74.0,65.0,173.69814
73,75.0,66.0,166.88391
74,76.0,67.0,152.501076666667
75,77.0,68.0,123.841613333333
76,78.0,69.0,180.751893333333
77,79.0,70.0,155.489986666667
78,80.0,71.0,148.891176666667
79,81.0,72.0,167.845626666667
80,82.0,73.0,162.051766666667
81,83.0,74.0,206.0
82,84.0,75.0,153.933333333333
83,85.0,76.0,163.5
84,86.0,77.0,150.933333333333
85,87.0,78.0,164.566666666667
86,88.0,79.0,142.933333333333
87,89.0,80.0,133.8
88,90.0,81.0,147.066666666667
89,91.0,82.0,164.633333333333
90,92.0,83.0,150.3
91,93.0,84.0,201.533333333333
92,94.0,85.0,102.133333333333
93,95.0,86.0,114.6
94,96.0,87.0,150.2
95,97.0,88.0,161.033333333333
96,98.0,89.0,127.466666666667
97,99.0,90.0,107.233333333333
98,100.0,91.0,183.966666666667
99,101.0,92.0,160.7
100,102.0,93.0,166.1
101,103.0,94.0,181.533333333333
102,104.0,95.0,243.833333333333
103,105.0,96.0,158.9
104,106.0,97.0,186.133333333333
105,107.0,98.0,152.633333333333
106,108.0,99.0,157.866666666667
107,109.0,100.0,178.333333333333
108,110.0,101.0,171.666666666667
109,111.0,102.0,119.066666666667
110,112.0,103.0,154.433333333333
111,113.0,104.0,164.333333333333
112,114.0,105.0,226.866666666667
113,115.0,106.0,163.966666666667
114,116.0,107.0,185.433333333333
115,117.0,108.0,155.2
116,118.0,109.0,168.866666666667
117,119.0,110.0,123.066666666667
118,120.0,111.0,146.033333333333
119,121.0,112.0,173.5
120,122.0,113.0,182.233333333333
121,123.0,114.0,139.033333333333
122,124.0,115.0,172.533333333333
123,125.0,116.0,173.0
124,126.0,117.0,177.366666666667
125,127.0,118.0,166.466666666667
126,128.0,119.0,138.4
127,129.0,120.0,192.433333333333
128,130.0,121.0,150.8
129,131.0,122.0,151.133333333333
130,132.0,123.0,130.6
131,134.0,125.0,128.533333333333
132,135.0,126.0,175.333333333333
133,136.0,127.0,169.266666666667
134,137.0,128.0,176.1
135,138.0,129.0,191.6
136,139.0,130.0,142.44988
137,140.0,131.0,144.04988
138,141.0,132.0,177.866666666667
139,142.0,133.0,148.226446666667
140,143.0,134.0,154.68053
141,144.0,135.0,161.288226666667
142,145.0,136.0,153.136346666667
143,146.0,137.0,103.432396666667
144,147.0,138.0,153.803013333333
145,148.0,139.0,159.1376
146,149.0,140.0,187.41918
147,150.0,141.0,123.358463333333
148,151.0,142.0,162.40057
149,152.0,143.0,183.026573333333
150,153.0,144.0,156.26968
151,154.0,145.0,419.407913333333
152,155.0,146.0,385.773263333333
153,156.0,147.0,156.907963333333
154,157.0,148.0,153.76968
155,158.0,149.0,179.612976666667
156,159.0,150.0,143.53384
157,160.0,151.0,165.712913333333
158,161.0,152.0,160.946246666667
159,162.0,153.0,173.49938
160,163.0,154.0,163.417863333333
161,164.0,155.0,145.19681
162,165.0,156.0,157.541296666667
