,0,1,2
0,0.0,1.0,39.6544888927
1,1.0,2.0,50.1393146844667
2,2.0,3.0,42.4726928184
3,3.0,4.0,36.8268132420667
4,4.0,5.0,41.1959355141667
5,5.0,6.0,32.267978959
6,6.0,7.0,33.4101980003
7,7.0,8.0,49.1822268223667
8,8.0,9.0,22.7976875916667
9,9.0,10.0,34.2760411239
10,10.0,1.0,22.0666666666667
11,11.0,2.0,10.9309119399
12,12.0,3.0,26.9927480527
13,13.0,4.0,12.7995681327333
14,14.0,5.0,17.8052117520333
15,15.0,6.0,27.0504530032
16,16.0,7.0,29.2394725388667
17,17.0,8.0,13.4699271196333
18,18.0,9.0,22.2524562655
19,19.0,10.0,22.1299748391333
20,20.0,11.0,17.3892101708
21,21.0,12.0,24.1389777959
22,22.0,13.0,10.0573214344667
23,23.0,14.0,19.117150685
24,24.0,15.0,15.2847648223667
25,25.0,16.0,13.4891454915333
26,26.0,17.0,15.2731670088333
27,27.0,18.0,15.9621378480333
28,28.0,19.0,12.3406113675333
29,29.0,20.0,10.9621736301333
30,30.0,21.0,20.8415740984333
31,31.0,22.0,17.9326292629667
32,32.0,23.0,12.9342309368333
33,33.0,24.0,22.7010457181667
34,34.0,25.0,13.1835920245333
35,35.0,26.0,18.4256737832
36,36.0,27.0,10.7075629956667
37,37.0,28.0,16.1798446493
38,38.0,29.0,13.4835874529667
39,40.0,31.0,12.9682114766
40,42.0,33.0,33.9975924968667
41,43.0,34.0,34.9591993419
42,44.0,35.0,33.7263566200667
43,45.0,36.0,42.2347226186333
44,46.0,37.0,29.7352261887
45,47.0,38.0,14.8832856118667
46,48.0,39.0,25.0794622698667
47,49.0,40.0,21.3409732292333
48,50.0,41.0,37.3566030463333
49,51.0,42.0,30.4237811951333
50,52.0,43.0,33.6998591432
51,53.0,44.0,11.1469990447667
52,54.0,45.0,17.9005395433333
53,55.0,46.0,13.5784870704667
54,56.0,47.0,29.8311575566
55,57.0,48.0,32.3513557767667
56,58.0,49.0,10.3052426757667
57,59.0,50.0,24.8647904495333
58,60.0,51.0,106.239730107433
59,61.0,52.0,31.4554810978
60,62.0,53.0,5.72127914976667
61,63.0,54.0,37.4734903987333
62,64.0,55.0,44.0098420517
63,65.0,56.0,24.3574631841667
64,66.0,57.0,32.3776485516333
65,67.0,58.0,21.6043189688667
66,68.0,59.0,19.5982019179
67,69.0,60.0,26.8911070490333
68,70.0,61.0,22.2972265610667
69,71.0,62.0,22.3292374083
70,72.0,63.0,14.7412313456
71,73.0,64.0,24.2097051681333
72,74.0,65.0,35.8118091679
73,75.0,66.0,17.3245511533333
74,76.0,67.0,25.0832536018
75,77.0,68.0,35.8116665959
76,78.0,69.0,5.72725287073333
77,79.0,70.0,53.7614121533333
78,80.0,71.0,11.6699911730333
79,81.0,72.0,36.5419532635333
80,82.0,73.0,32.9190228932333
81,83.0,74.0,10.1140085647667
82,84.0,75.0,5.97527849043333
83,85.0,76.0,8.87778689323333
84,86.0,77.0,15.2332411724333
85,87.0,78.0,15.9172917538667
86,88.0,79.0,37.8998957007333
87,89.0,80.0,4.88800812333333
88,90.0,81.0,18.5727481076333
89,91.0,82.0,16.8830595168333
90,92.0,83.0,9.34287035
91,93.0,84.0,10.6367708120333
92,94.0,85.0,20.3088195618
93,95.0,86.0,26.7095483185667
94,96.0,87.0,15.5592531915333
95,97.0,88.0,33.6895317115653
96,98.0,89.0,34.9658976948667
97,99.0,90.0,27.9457834233667
98,100.0,91.0,24.7051988529667
99,101.0,92.0,47.732486925
100,102.0,93.0,36.4325504375
101,103.0,94.0,33.3280998179333
102,104.0,95.0,37.6612875893667
103,105.0,96.0,41.6370117103
104,106.0,97.0,33.6746563901333
105,107.0,98.0,24.4095874677
106,108.0,99.0,42.3881556084333
107,109.0,100.0,26.0033867232333
108,110.0,101.0,26.4846729383333
109,111.0,102.0,34.1852073523
110,112.0,103.0,27.9578644775
111,113.0,104.0,31.0258408960333
112,114.0,105.0,54.1205257413
113,115.0,106.0,19.3700731951
114,116.0,107.0,15.6501482166667
115,117.0,108.0,29.7055792898667
116,118.0,109.0,21.5654798188667
117,119.0,110.0,13.7159967365667
118,120.0,111.0,11.4149846069667
119,121.0,112.0,30.5822684931333
120,122.0,113.0,16.6530934464333
121,123.0,114.0,26.4754963636
122,124.0,115.0,35.3466783811
123,125.0,116.0,23.9496869805
124,126.0,117.0,44.2304838087667
125,127.0,118.0,26.2254766979
126,128.0,119.0,19.8539662737667
127,129.0,120.0,41.3353062026667
128,130.0,121.0,26.9385723478
129,131.0,122.0,23.3495327086
130,132.0,123.0,25.2937851991333
131,134.0,125.0,31.9490081196667
132,135.0,126.0,16.1861686526667
133,136.0,127.0,19.8846015432333
134,137.0,128.0,32.577329223
135,138.0,129.0,15.8450999906667
136,139.0,130.0,15.2527681015333
137,140.0,131.0,21.8015873416667
138,141.0,132.0,14.511349794
139,142.0,133.0,23.7910703671333
140,143.0,134.0,11.5555086440333
141,144.0,135.0,28.2320075151
142,145.0,136.0,34.4490256723333
143,146.0,137.0,19.0710805448667
144,147.0,138.0,29.5930518480333
145,148.0,139.0,17.6749333639333
146,149.0,140.0,29.2388760908667
147,150.0,141.0,26.0094337184667
148,151.0,142.0,35.1340682214
149,152.0,143.0,27.7782934492333
150,153.0,144.0,22.0274023432667
151,154.0,145.0,20.5332190916333
152,155.0,146.0,40.5286819546
153,156.0,147.0,14.3514350994333
154,157.0,148.0,26.3740715136333
155,158.0,149.0,31.3971575287
156,159.0,150.0,18.2207498434667
157,160.0,151.0,29.7989779773667
158,161.0,152.0,24.5698872808667
159,162.0,153.0,26.4401327853667
160,163.0,154.0,22.9327798775667
161,164.0,155.0,18.3939762673667
162,165.0,156.0,13.3048863755
