,0,1,2
0,0.0,1.0,200.737
1,1.0,2.0,202.771
2,2.0,3.0,208.895
3,3.0,4.0,192.621
4,4.0,5.0,141.895
5,5.0,6.0,155.647
6,6.0,7.0,144.829
7,7.0,8.0,156.633
8,8.0,9.0,161.579
9,9.0,10.0,180.529
10,10.0,1.0,122.142333333333
11,11.0,2.0,116.284333333333
12,12.0,3.0,131.004333333333
13,13.0,4.0,136.962333333333
14,14.0,5.0,139.956333333333
15,15.0,6.0,155.076333333333
16,16.0,7.0,136.959
17,17.0,8.0,187.114333333333
18,18.0,9.0,145.971
19,19.0,10.0,145.974333333333
20,20.0,11.0,93.2523333333333
21,21.0,12.0,93.2523333333333
22,22.0,13.0,80.1103333333333
23,23.0,14.0,118.237
24,24.0,15.0,116.294333333333
25,25.0,16.0,122.162333333333
26,26.0,17.0,137.977
27,27.0,18.0,162.245666666667
28,28.0,19.0,105.676333333333
29,29.0,20.0,117.275666666667
30,30.0,21.0,91.3663333333333
31,31.0,22.0,119.208333333333
32,32.0,23.0,110.463
33,33.0,24.0,74.5456666666667
34,34.0,25.0,88.5323333333333
35,35.0,26.0,81.9763333333333
36,36.0,27.0,198.739
37,37.0,28.0,90.415
38,38.0,29.0,80.1103333333333
39,40.0,31.0,179.788333333333
40,42.0,33.0,158.127
41,43.0,34.0,119.208333333333
42,44.0,35.0,152.032333333333
43,45.0,36.0,142.960333333333
44,46.0,37.0,159.148333333333
45,47.0,38.0,141.955666666667
46,48.0,39.0,125.083
47,49.0,40.0,186.066333333333
48,50.0,41.0,155.076333333333
49,51.0,42.0,154.061666666667
50,52.0,43.0,133.978333333333
51,53.0,44.0,104.685
52,54.0,45.0,95.145
53,55.0,46.0,118.237
54,56.0,47.0,97.0443333333333
55,57.0,48.0,134.969666666667
56,58.0,49.0,176.661
57,59.0,50.0,133.975
58,60.0,51.0,154.663
59,61.0,52.0,138.963
60,62.0,53.0,109.037
61,63.0,54.0,130.213
62,64.0,55.0,153.675
63,65.0,56.0,131.179
64,66.0,57.0,141.895
65,67.0,58.0,139.939
66,68.0,59.0,142.871
67,69.0,60.0,149.735
68,70.0,61.0,144.829
69,71.0,62.0,108.083
70,72.0,63.0,114.779
71,73.0,64.0,205.829
72,74.0,65.0,183.543
73,75.0,66.0,117.262333333333
74,76.0,67.0,152.032333333333
75,77.0,68.0,176.664333333333
76,78.0,69.0,85.715
77,79.0,70.0,152.032333333333
78,80.0,71.0,168.380333333333
79,81.0,72.0,182.919
80,82.0,73.0,123.120333333333
81,83.0,74.0,105.646333333333
82,84.0,75.0,93.249
83,85.0,76.0,112.399
84,86.0,77.0,83.8423333333333
85,87.0,78.0,84.787
86,88.0,79.0,144.973
87,89.0,80.0,111.444333333333
88,90.0,81.0,93.249
89,91.0,82.0,129.025
90,92.0,83.0,122.142333333333
91,93.0,84.0,71.7783333333333
92,94.0,85.0,62.625
93,95.0,86.0,128.040333333333
94,96.0,87.0,111.431
95,97.0,88.0,146.979
96,98.0,89.0,111.431
97,99.0,90.0,76.395
98,100.0,91.0,105.646333333333
99,101.0,92.0,194.497
100,102.0,93.0,156.091
101,103.0,94.0,173.547
102,104.0,95.0,251.043
103,105.0,96.0,128.037
104,106.0,97.0,179.785
105,107.0,98.0,120.183
106,108.0,99.0,200.868333333333
107,109.0,100.0,172.512333333333
108,110.0,101.0,176.661
109,111.0,102.0,154.058333333333
110,112.0,103.0,128.037
111,113.0,104.0,115.309666666667
112,114.0,105.0,214.812333333333
113,115.0,106.0,139.956333333333
114,116.0,107.0,120.183
115,117.0,108.0,145.971
116,118.0,109.0,107.569
117,119.0,110.0,82.9143333333333
118,120.0,111.0,117.262333333333
119,121.0,112.0,119.215
120,122.0,113.0,135.971
121,123.0,114.0,122.142333333333
122,124.0,115.0,164.265
123,125.0,116.0,103.733666666667
124,126.0,117.0,117.255666666667
125,127.0,118.0,125.086333333333
126,128.0,119.0,119.228333333333
127,129.0,120.0,156.091
128,130.0,121.0,153.043666666667
129,131.0,122.0,157.109
130,132.0,123.0,103.727
131,134.0,125.0,121.161
132,135.0,126.0,107.569
133,136.0,127.0,114.338333333333
134,137.0,128.0,198.739
135,138.0,129.0,145.971
136,139.0,130.0,97.0443333333333
137,140.0,131.0,152.042333333333
138,141.0,132.0,97.051
139,142.0,133.0,104.688333333333
140,143.0,134.0,95.145
141,144.0,135.0,122.139
142,145.0,136.0,176.661
143,146.0,137.0,109.505
144,147.0,138.0,131.001
145,148.0,139.0,96.093
146,149.0,140.0,148.995
147,150.0,141.0,115.313
148,151.0,142.0,131.992333333333
149,152.0,143.0,94.197
150,153.0,144.0,131.001
151,154.0,145.0,115.309666666667
152,155.0,146.0,176.661
153,156.0,147.0,107.569
154,157.0,148.0,148.995
155,158.0,149.0,133.975
156,159.0,150.0,105.646333333333
157,160.0,151.0,155.073
158,161.0,152.0,157.109
159,162.0,153.0,117.255666666667
160,163.0,154.0,128.037
161,164.0,155.0,80.1103333333333
162,165.0,156.0,97.9956666666667
